"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Emanuel Wilson","SEA","RB69","70.2","289.5","1.7","7.7","52.1","0.0","0.5","47.3"
"Mack Hollins","NE","WR114","0.0","0.0","0.0","21.5","257.9","1.6","0.2","45.8"
"Charlie Kolar","LAC","TE45","0.0","0.0","0.0","20.2","229.9","2.0","0.1","45.3"
"Tank Dell","HOU","WR115","4.5","20.0","0.0","19.0","241.5","1.5","0.0","44.7"
"Jonah Coleman","DEN","RB70","48.7","203.0","1.6","10.2","74.8","0.4","0.2","44.2"
"Christian Kirk","SF","WR116","0.0","0.0","0.0","21.0","242.5","1.5","0.0","43.8"
"Jonnu Smith","GB","TE46","0.0","0.0","0.0","22.2","201.9","2.0","0.1","43.3"
"Brock Wright","DET","TE47","0.0","0.0","0.0","20.9","187.6","2.3","0.0","43.0"
"Cyrus Allen","KC","WR117","0.0","0.0","0.0","19.4","245.1","1.5","0.2","43.0"
"Kyle Juszczyk","SF","RB71","4.2","10.3","0.1","23.7","208.8","1.5","0.1","42.9"
"Josh Oliver","MIN","TE48","0.0","0.0","0.0","18.6","194.3","2.4","0.1","42.9"
"Luke McCaffrey","WAS","WR118","0.0","0.0","0.0","14.4","221.1","2.3","0.0","42.7"
"Kyle Williams","NE","WR119","4.1","22.4","0.2","16.1","232.4","1.4","0.2","42.7"
"Daniel Bellinger","TEN","TE49","0.0","0.0","0.0","19.3","222.2","1.8","0.0","42.3"
"Adam Trautman","DEN","TE50","0.0","0.0","0.0","21.3","216.7","1.6","0.1","42.1"
"Austin Hooper","ATL","TE51","0.0","0.0","0.0","21.9","225.4","1.3","0.1","41.0"
"Eli Raridon","NE","TE52","0.0","0.0","0.0","20.7","214.6","1.7","0.6","40.8"
"Tommy Tremble","CAR","TE53","0.0","0.0","0.0","21.1","197.8","1.8","0.1","40.8"
"James Conner","ARI","RB72","32.5","108.5","1.0","14.0","106.5","1.0","0.0","40.5"
"Noah Gray","KC","TE54","0.0","0.0","0.0","21.0","211.4","1.5","0.1","40.4"
"Eli Stowers","PHI","TE55","0.0","0.0","0.0","20.9","214.9","1.4","0.6","39.1"
"Kendrick Bourne","ARI","WR120","0.0","0.0","0.0","22.8","239.1","0.7","0.2","38.8"
"Dyami Brown","WAS","WR121","0.0","0.0","0.0","15.9","216.7","1.6","0.2","38.7"
"Elijah Arroyo","SEA","TE56","0.0","0.0","0.0","19.0","198.7","1.6","0.1","38.7"
"Isaiah Davis","NYJ","RB73","35.1","174.9","1.2","9.9","78.6","0.2","0.1","38.5"
"Treylon Burks","WAS","WR122","0.0","0.0","0.0","15.0","217.5","1.4","0.1","37.2"
"Kalif Raymond","CHI","WR123","4.5","26.8","0.2","19.4","187.5","0.9","0.2","36.9"
"LeQuint Allen Jr.","JAC","RB74","32.0","126.0","0.6","15.3","99.2","0.4","0.1","36.2"
"Emmett Johnson","KC","RB75","46.0","191.9","1.5","5.2","41.2","0.2","0.1","35.7"
"Davis Allen","LAR","TE57","0.0","0.0","0.0","16.9","157.2","1.9","0.0","35.3"
"Adam Randall","BAL","RB76","31.0","169.5","1.0","6.5","70.5","0.5","0.5","35.3"
"Ben Sims","MIA","TE58","0.0","0.0","0.0","19.5","185.3","1.2","0.0","35.2"
"Ja'Tavion Sanders","CAR","TE59","0.0","0.0","0.0","22.2","178.1","1.0","0.1","35.0"
"Elijah Higgins","ARI","TE60","0.0","0.0","0.0","21.9","201.5","0.8","0.6","35.0"
"Marlin Klein","HOU","TE61","0.0","0.0","0.0","19.5","194.4","1.1","0.5","34.8"
"Savion Williams","GB","WR124","9.0","47.1","0.3","13.1","147.2","1.1","0.2","34.1"
"John Bates","WAS","TE62","0.0","0.0","0.0","17.1","169.3","1.6","0.6","33.8"
"Roschon Johnson","CHI","RB77","34.0","116.0","3.0","3.0","18.0","0.0","0.0","32.9"
"Jeremy Ruckert","NYJ","TE63","0.0","0.0","0.0","19.7","146.3","1.3","0.0","32.0"
"Sean Tucker","TB","RB78","39.3","163.6","2.2","1.5","10.2","0.0","0.1","31.4"
