"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kevin Coleman Jr.","MIA","WR121","0.0","0.0","0.0","21.1","270.5","0.7","0.2","41.2"
"Noah Gray","KC","TE51","0.0","0.0","0.0","21.0","211.6","1.5","0.1","40.4"
"Eli Stowers","PHI","TE52","0.0","0.0","0.0","20.9","214.4","1.4","0.6","39.1"
"Luke Musgrave","GB","TE53","0.0","0.0","0.0","21.7","211.9","1.2","0.0","39.0"
"Tommy Tremble","CAR","TE54","0.0","0.0","0.0","20.7","188.5","1.6","0.1","38.9"
"Kendrick Bourne","ARI","WR122","0.0","0.0","0.0","22.8","239.4","0.7","0.2","38.9"
"Dyami Brown","WAS","WR123","0.0","0.0","0.0","15.9","217.0","1.6","0.2","38.8"
"Isaiah Davis","NYJ","RB74","35.1","174.6","1.2","9.9","78.2","0.2","0.1","38.3"
"Adam Trautman","DEN","TE55","0.0","0.0","0.0","19.4","197.0","1.5","0.0","38.2"
"Treylon Burks","WAS","WR124","0.0","0.0","0.0","15.0","217.9","1.4","0.1","37.2"
"Kalif Raymond","CHI","WR125","4.6","27.2","0.2","19.2","187.0","0.9","0.2","36.9"
"Eli Raridon","NE","TE56","0.0","0.0","0.0","18.8","192.8","1.5","0.6","36.8"
"LeQuint Allen Jr.","JAC","RB75","32.0","126.0","0.6","15.3","99.5","0.4","0.1","36.2"
"Cyrus Allen","KC","WR126","0.0","0.0","0.0","16.2","202.8","1.3","0.2","35.6"
"Davis Allen","LAR","TE57","0.0","0.0","0.0","16.9","157.3","1.9","0.0","35.4"
"Ben Sims","MIA","TE58","0.0","0.0","0.0","19.5","184.7","1.2","0.0","35.2"
"Skyler Bell","BUF","WR127","0.0","0.0","0.0","15.1","205.5","1.2","0.2","35.0"
"Marlin Klein","HOU","TE59","0.0","0.0","0.0","19.5","192.6","1.1","0.5","34.6"
"Elijah Higgins","ARI","TE60","0.0","0.0","0.0","22.0","196.1","0.8","0.6","34.5"
"Sean Tucker","TB","RB76","38.8","163.8","2.7","1.5","10.2","0.0","0.1","34.4"
"Jonah Coleman","DEN","RB77","24.6","101.9","0.8","13.1","94.1","0.6","0.2","34.1"
"Bryce Lance","NO","WR128","0.0","0.0","0.0","16.4","204.4","0.9","0.2","33.9"
"John Bates","WAS","TE61","0.0","0.0","0.0","17.1","169.9","1.6","0.6","33.9"
"Jordan Whittington","LAR","WR129","2.3","12.1","0.1","15.0","171.9","1.2","0.2","33.6"
"Frank Gore Jr.","BUF","RB78","37.0","174.0","2.0","3.0","26.0","0.0","0.0","33.5"
"Jake Tonges","SF","TE62","0.0","0.0","0.0","16.7","167.0","1.3","0.0","33.1"
"Roschon Johnson","CHI","RB79","34.0","117.0","3.0","3.0","18.0","0.0","0.0","33.0"
