"RK","PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"286","Ja'Lynn Polk",NE,"26.7","0","0","12","87","2","1","0","0"
"287","Mason Rudolph",PIT,"104.8","1530","9","0","0","0","25","106","1"
"288","Mack Hollins",NE,"83.3","0","0","31","378","5","0","0","0"
"289","Luke McCaffrey",WAS,"25.8","0","0","18","168","0","0","0","0"
"290","Drew Lock",SEA,"85.1","1071","6","0","0","0","18","133","2"
"291","MarShawn Lloyd",GB,"2.3","0","0","1","3","0","6","15","0"
"292","Brandon McManus",GB,"99","0","0","0","0","0","0","0","0"
"293","Derek Carr",FA,"155.9","2145","15","0","0","0","17","71","1"
"294","David Montgomery",DET,"203.7","0","0","36","341","0","185","775","12"
"295","Jermaine Burton",CIN,"12.7","0","0","4","107","0","0","0","0"
"296","New York Giants",NYG,"91","0","0","0","0","0","0","0","0"
"297","Jordan Whittington",LAR,"41.5","0","0","22","293","0","2","12","0"
"298","Chris Rodriguez Jr.",WAS,"31","0","0","1","12","0","35","173","2"
"299","Dawson Knox",BUF,"48.1","0","0","22","311","1","0","0","0"
"300","JuJu Smith-Schuster",KC,"44.1","0","0","18","231","2","0","0","0"
"301","Greg Zuerlein",FA,"41","0","0","0","0","0","0","0","0"
"302","Trey Palmer",TB,"29.2","0","0","12","172","1","0","0","0"
"303","Austin Hooper",NE,"86.1","0","0","45","476","3","0","0","0"
"304","David Moore",CAR,"69.1","0","0","32","351","3","1","0","0"
"305","Dyami Brown",JAC,"52.4","0","0","30","308","1","3","26","0"
"306","Ben Sinnott",WAS,"11.3","0","0","5","28","1","0","0","0"
"307","Jonathan Mingo",DAL,"23.7","0","0","17","167","0","2","5","0"
"308","Matt Prater",FA,"33","0","0","0","0","0","0","0","0"
"309","Jordan Akins",FA,"71","0","0","40","390","2","0","0","0"
"310","Travis Homer",CHI,"4.9","0","0","3","11","0","6","23","0"
"311","Eddy Pineiro",FA,"107","0","0","0","0","0","0","0","0"
"312","Daniel Jones",IND,"142.3","2070","8","0","0","0","67","265","2"
"313","New England Patriots",NE,"63","0","0","0","0","0","0","0","0"
"314","Josh Reynolds",NYJ,"31.9","0","0","13","194","1","0","0","0"
"315","Kendrick Bourne",NE,"51.1","0","0","28","305","1","1","6","0"
"316","Carolina Panthers",CAR,"41","0","0","0","0","0","0","0","0"
"317","John Metchie III",HOU,"43.4","0","0","24","254","1","0","0","0"
"318","Cade York",FA,"46","0","0","0","0","0","0","0","0"
"319","Kayshon Boutte",NE,"100.4","0","0","43","589","3","0","0","0"
"320","Luke Musgrave",GB,"8","0","0","7","45","0","0","0","0"
"321","Austin Seibert",FA,"115","0","0","0","0","0","0","0","0"
"322","Michael Mayer",LV,"26.1","0","0","21","156","0","0","0","0"
"323","Jordan Mason",MIN,"109.5","0","0","11","91","0","153","789","3"
"324","Tyler Higbee",LAR,"22.6","0","0","8","66","2","0","0","0"
"325","Michael Carter",ARI,"30.3","0","0","11","57","0","35","131","1"
"326","Matthew Wright",CAR,"56","0","0","0","0","0","0","0","0"
"327","Jahan Dotson",PHI,"32.4","0","0","19","216","0","1","13","0"
"328","Greg Joseph",FA,"66","0","0","0","0","0","0","0","0"
"329","D'Ernest Johnson",BAL,"29.9","0","0","12","96","0","32","143","0"
"330","Bo Melton",GB,"18.5","0","0","8","91","0","8","54","0"
"331","Hassan Haskins",LAC,"31.3","0","0","3","49","1","34","89","2"
"332","Clyde Edwards-Helaire",NO,"8.5","0","0","3","24","0","13","46","0"
"333","Foster Moreau",NO,"87.3","0","0","32","413","5","0","0","0"
"334","Jalen Nailor",MIN,"89","0","0","28","414","6","3","-4","0"
"335","Olamide Zaccheaus",CHI,"89.9","0","0","45","506","3","1","8","0"
"336","Cam Little",JAC,"126","0","0","0","0","0","0","0","0"
"337","Justin Fields",NYJ,"120.1","1106","5","0","0","0","62","289","5"
"338","Cordarrelle Patterson",FA,"31.5","0","0","12","80","1","32","135","0"
"339","Eric Gray",NYG,"12.3","0","0","10","82","0","14","31","0"
"340","Javon Baker",NE,"1.7","0","0","1","12","0","0","0","0"
"341","Anders Carlson",FA,"62","0","0","0","0","0","0","0","0"
"342","Miles Sanders",DAL,"65.3","0","0","24","148","1","55","205","2"
"343","Davis Allen",LAR,"6.9","0","0","6","39","0","0","0","0"
"344","Roman Wilson",PIT,"0","0","0","0","0","0","0","0","0"
"345","Dylan Laube",LV,"-2","0","0","0","0","0","1","0","0"
"346","Tyler Goodson",IND,"38.9","0","0","11","61","1","32","153","1"
"347","Greg Dortch",ARI,"71.8","0","0","37","342","3","5","31","0"
"348","Jalin Hyatt",NYG,"10.2","0","0","8","62","0","0","0","0"
"349","Malachi Corley",NYJ,"3.7","0","0","3","16","0","2","26","0"
"350","Hayden Hurst",FA,"11.3","0","0","8","73","0","0","0","0"
"351","Odell Beckham Jr.",FA,"10","0","0","9","55","0","0","0","0"
"352","Colby Parkinson",LAR,"50.4","0","0","30","294","1","0","0","0"
"353","Zay Jones",ARI,"12.4","0","0","8","84","0","0","0","0"
"354","A.T. Perry",DEN,"0","0","0","0","0","0","0","0","0"
"355","Adam Trautman",DEN,"37.3","0","0","13","188","2","0","0","0"
"356","Will Shipley",PHI,"13.7","0","0","4","35","0","30","82","0"
"357","Israel Abanikanda",GB,"0","0","0","0","0","0","0","0","0"
"358","Joey Slye",TEN,"120","0","0","0","0","0","0","0","0"
"359","Deuce Vaughn",DAL,"10.3","0","0","3","18","0","17","70","0"
"360","Justin Watson",HOU,"51.9","0","0","22","289","2","0","0","0"
"361","Spencer Rattler",NO,"72.3","1317","4","0","0","0","18","146","0"
"362","Evan Hull",PIT,"0","0","0","0","0","0","0","0","0"
"363","JaMycal Hasty",NE,"23.8","0","0","10","59","1","20","69","0"
"364","DJ Chark Jr.",ATL,"11.1","0","0","4","31","1","0","0","0"
"365","Rakim Jarrett",TB,"16.9","0","0","9","124","0","0","0","0"
"366","Luke Schoonmaker",DAL,"43.6","0","0","27","241","1","0","0","0"
"367","Gerald Everett",FA,"7.6","0","0","8","36","0","0","0","0"
